PERMNO,date,TICKER,PRC,VOL
84398,13/12/2017,SPY,266.75000,102905409
84398,14/12/2017,SPY,265.66000,100666692
84398,15/12/2017,SPY,266.51001,144610290
84398,18/12/2017,SPY,268.20001,83653572
84398,19/12/2017,SPY,267.17001,82382876
84398,20/12/2017,SPY,267.03000,76751500
84398,21/12/2017,SPY,267.57999,67032339
84398,22/12/2017,SPY,267.51001,78720873
84398,26/12/2017,SPY,267.19000,45244433
84398,27/12/2017,SPY,267.32001,57750986
84398,28/12/2017,SPY,267.87000,45116139
84398,29/12/2017,SPY,266.85999,96007424
84398,02/01/2018,SPY,268.76999,86655749
84398,03/01/2018,SPY,270.47000,90070416
84398,04/01/2018,SPY,271.60999,80636408
84398,05/01/2018,SPY,273.42001,83523995
84398,08/01/2018,SPY,273.92001,57319192
84398,09/01/2018,SPY,274.54001,57253957
84398,10/01/2018,SPY,274.12000,69574318
84398,11/01/2018,SPY,276.12000,62361455
84398,12/01/2018,SPY,277.92001,90816076
84398,16/01/2018,SPY,276.97000,106555142
84398,17/01/2018,SPY,279.60999,113258799
84398,18/01/2018,SPY,279.14001,100728006
84398,19/01/2018,SPY,280.41000,140920098
84398,22/01/2018,SPY,282.69000,91322408
84398,23/01/2018,SPY,283.29001,97084700
84398,24/01/2018,SPY,283.17999,134816117
84398,25/01/2018,SPY,283.29999,84587313
84398,26/01/2018,SPY,286.57999,107743119
84398,29/01/2018,SPY,284.67999,90118337
84398,30/01/2018,SPY,281.76001,131796419
84398,31/01/2018,SPY,281.89999,118948131
84398,01/02/2018,SPY,281.57999,90102470
84398,02/02/2018,SPY,275.45001,173174790
84398,05/02/2018,SPY,263.92999,294681816
84398,06/02/2018,SPY,269.13000,355026782
84398,07/02/2018,SPY,267.67001,167376100
84398,08/02/2018,SPY,257.63000,246449505
84398,09/02/2018,SPY,261.50000,283565315
84398,12/02/2018,SPY,265.34000,143735976
84398,13/02/2018,SPY,266.00000,81223640
84398,14/02/2018,SPY,269.59000,120735685
84398,15/02/2018,SPY,273.03000,111200286
84398,16/02/2018,SPY,273.10999,160420135
84398,20/02/2018,SPY,271.39999,86369662
84398,21/02/2018,SPY,270.04999,98883740
