,0
2023-08-22,0.007873763643826729
2023-08-23,0.021711497802612733
2023-08-24,0.026518988232676476
2023-08-25,-0.012563991659659969
2023-08-28,-0.008807117880558551
2023-08-29,0.021575729946042274
2023-08-30,0.018991130625746973
2023-08-31,-0.001171522404716275
2023-09-01,0.008427718861944445
2023-09-05,0.0012658955566328875
2023-09-06,0.036449633138903044
2023-09-07,0.02968558921981725
2023-09-08,0.003485534878936117
2023-09-11,-0.006600832919258908
2023-09-12,0.01720784139800098
2023-09-13,-0.011925657882858372
2023-09-14,-0.008744235355890168
2023-09-15,0.00416269114950218
2023-09-18,0.016771975955253097
2023-09-19,0.006161763309160358
2023-09-20,0.02019466152658862
2023-09-21,0.00892928477146853
2023-09-22,-0.0049323690306778975
2023-09-25,0.007353323291766403
